All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Kavya Spirits Inc.,150700718,Tuscola,5,23736.08,19966.75,3769.33,8086,4316.67,3769.33,1130.82,942.35,188.47
KAYCEE CLUB OF LASALLE ILLINOIS,140701252,La Salle,4,118202.45,108785.01,9417.44,37161,27743.56,9417.44,2825.2,2354.34,470.86
"KAYDEE EVANS, INC.",160702063,Peoria Heights,5,222627.17,202776.08,19851.09,69968,50116.91,19851.09,5955.41,4962.85,992.56
"Kaysee Club, Inc.",150703346,Streator,5,177899.09,162709.79,15189.3,55761,40571.9,15189.1,4556.78,3797.31,759.47
"KBNT, INC.",140704094,Altona,5,174612.8,160208.39,14404.41,52749,38344.59,14404.41,4321.39,3601.16,720.23
Keagle Incorporated,120706182,Urbana,4,94156.66,84356.29,9800.37,29914,20113.46,9800.54,2940.16,2450.14,490.02
"KEEFNER'S, INC.",150701722,Springfield,3,67638.64,67397.86,240.78,21164,20923.33,240.67,72.25,60.21,12.04
"Keeler-Adams Post No. 1168, Department of Illinois American Legion, Incorporated",120901469,Edgewood,5,225683.42,211314.32,14369.1,65757,51387.9,14369.1,4310.77,3592.31,718.46
"Keep It Simple, Inc.",120709570,Ogden,5,203925.3,184406.42,19518.88,71548,52029.12,19518.88,5855.74,4879.78,975.96
Keith Howell,130705028,Effingham County,5,368804.46,344027.78,24776.68,110754,85977.34,24776.66,7432.99,6194.16,1238.83
"Keldon, Inc.",120700458,Bloomington,5,552622.59,502016.33,50606.26,168816,118209.74,50606.26,15181.98,12651.65,2530.33
Kelley Williamson Company,121001298,Rockford,5,1229664.48,1125234.45,104430.03,409978,305549.08,104428.92,31328.79,26107.33,5221.46
KELLEY WILLIAMSON COMPANY,161000142,Boone County,3,159253.16,148132.43,11120.73,49770,38649.22,11120.78,3336.32,2780.26,556.06
"KELLI'S CUCKOO'S NEST, INC.",130706054,Cary,5,192687.66,177611.99,15075.67,65560,50484.33,15075.67,4522.76,3768.97,753.79
Kelly Entertainment Corporation,120700147,Peoria Heights,3,117963.48,110094.68,7868.8,35998,28129.21,7868.79,2360.67,1967.22,393.45
Kelly Entertainment Corporation,160702732,Toluca,5,14243.82,12812.21,1431.61,5032,3600.39,1431.61,429.47,357.89,71.58
KELLY J. EVINK LLC,120704054,Loves Park,5,526218.21,486133.42,40084.79,154088,114003.16,40084.84,12025.48,10021.23,2004.25
KELLY J. EVINK LLC,130704134,Loves Park,5,914557.43,854500.42,60057.01,275218,215160.94,60057.06,18017.19,15014.33,3002.86
KELLY MENNENGA,120706569,Crescent City,3,12831.41,11227.72,1603.69,5976,4372.31,1603.69,481.15,400.96,80.19
Kelly Robinson,120703213,Atwood,5,240396.2,217676.5,22719.7,71583,48863.3,22719.7,6815.96,5679.97,1135.99
"Kelscotra, Incorporated",120705824,Benton,4,220187.13,203010.71,17176.42,65363,48186.51,17176.49,5153.02,4294.19,858.83
"Kelsey's Cabin, Inc.",120705160,Fox Lake,5,382792.6,356358.45,26434.15,115521,89086.8,26434.2,7930.22,6608.52,1321.7
"Kemp's Korner, Inc.",150700051,New Minden,5,37152.28,33462.92,3689.36,12527,8837.58,3689.42,1106.79,922.33,184.46
Ken Fisher & Kelly Johnson,120709719,Tiskilwa,3,63655.9,61606.39,2049.51,23135,21085.49,2049.51,614.83,512.35,102.48
"Ken Keeler, Inc.",130706595,Midlothian,5,436135.87,405567.07,30568.8,133656,103087.2,30568.8,9170.72,7642.27,1528.45
"KENDI, INC.",120707834,South Elgin,3,129352.23,120489.1,8863.13,36080,27216.92,8863.08,2658.94,2215.78,443.16
KENJO INC.,120711381,Decatur,5,162531.34,148187.95,14343.39,51215,36871.61,14343.39,4303.07,3585.9,717.17
"Kenneth E. Donaldson Post 4547, Veterans of Foreign Wars of the U.S.",120908186,Gillespie,3,49314.82,49389.62,-74.8,12242,12316.75,-74.75,-22.39,-18.65,-3.74
Kenneth Kramer,150703966,Princeton,3,73475.5,66473.33,7002.17,21896,14893.89,7002.11,2100.64,1750.53,350.11
"KENNY'S RIBS & DUSTIES' BUFFETS MATTESON, INC.",130703128,Matteson,3,46681.73,41588.22,5093.51,16237,11143.38,5093.62,1528.14,1273.46,254.68
"Kenter's Tavern, Inc.",120712823,Teutopolis,4,62195.96,55190.67,7005.29,23077,16071.71,7005.29,2101.61,1751.34,350.27
"KENTS SUNSET INN, INC.",140704135,Southern View,5,253772.98,237407.27,16365.71,83361,67006.39,16354.61,4906.42,4088.68,817.74
"KENYON'S PLACE, INC.",120711371,Lacon,3,30835.55,28094.63,2740.92,10685,7944.08,2740.92,822.28,685.23,137.05
"KEP'S SPORTS BAR, INC.",120701222,Washington,5,275063.43,246724.29,28339.14,78369,50029.71,28339.29,8501.87,7084.9,1416.97
"Kep's Sports Bar, Inc.",150703240,Washington,2,1181.4,819.04,362.36,461,98.55,362.45,108.75,90.63,18.12
"KERICH ENTERPRISES, INC.",160702496,Crestwood,5,267920.2,246891.91,21028.29,90791,69762.71,21028.29,6308.58,5257.15,1051.43
"Kerker, Inc.",120700323,Peoria Heights,5,406465.59,382133.07,24332.52,135690,111357.48,24332.52,7299.76,6083.13,1216.63
KeRong Chen,150703093,Springfield,5,101243.89,93446.8,7797.09,38104,30307.01,7796.99,2339.19,1949.33,389.86
"Kershaw Harmer Post 1306, Veterans of Foreign Wars of the United States",120908624,Taylor Springs,4,95917.08,87197.8,8719.28,30215,21495.72,8719.28,2615.82,2179.85,435.97
"KESTERSON'S GOOD TIMES, INC.",120713009,Virginia,4,108009.64,99832.79,8176.85,35528,27351.15,8176.85,2453.11,2044.26,408.85
"Kettles Tap & Grill, Inc.",120704596,Roberts,3,45457.31,40651.78,4805.53,14619,9813.47,4805.53,1441.66,1201.38,240.28
Kevin Guinan,160700906,Springfield,0,-204943.7,-185589.57,-19354.13,-71980,-52625.87,-19354.13,-5806.35,-4838.63,-967.72
Kevin Guinan,160700906,Sangamon County,5,499299.45,450877.37,48422.08,167702,119279.92,48422.08,14526.75,12105.63,2421.12
Kevin Leslie Wills,140702038,Coal City,2,17294.85,15622.82,1672.03,5362,3689.97,1672.03,501.62,418.02,83.6
Kevin R Logan,120710772,Buffalo,3,88465.73,82487.53,5978.2,29580,23601.85,5978.15,1793.43,1494.53,298.9
"KEVIN SCHMIDT B-G LLC,",130701472,Elburn,5,284594.9,257918.95,26675.95,87592,60915.91,26676.09,8002.9,6669.09,1333.81
Kevin Woodson,120702998,Ottawa,2,14553.07,12790.04,1763.03,4728,2964.97,1763.03,528.9,440.75,88.15
Kewanee American Legion Post #31,120907264,Kewanee,5,145247.71,136062.06,9185.65,47607,38421.29,9185.71,2755.7,2296.42,459.28
Keyesport Memorial Post No. 1994 American Legion,120904153,Keyesport,5,173729.15,164095.8,9633.35,49489,39855.65,9633.35,2890.04,2408.37,481.67
"KFK, INC.",120710155,Lyons,5,591335.87,556619.54,34716.33,125703,90987.67,34715.33,10414.63,8678.86,1735.77
KGA Enterprises Inc.,120707641,Granite City,5,393988.14,357635.98,36352.16,116983,80678.45,36304.55,10891.42,9076.18,1815.24
"Khaki Jack's Australian Outback, Inc.",120709529,Peoria,2,173644.61,167706.31,5938.3,51151,45212.7,5938.3,1781.5,1484.58,296.92
"Khayat Lake House Group, Inc.",120705565,Lake Villa,4,206557.02,185899.54,20657.48,67574,46916.77,20657.23,6197.25,5164.38,1032.87
"Khayat Tavern Group, Inc.",130704365,Lake County,5,426341.51,385919.25,40422.26,131612,91189.84,40422.16,12126.69,10105.57,2021.12
"Ki's Restaurant, Inc.",140704036,Glendale Heights,5,296221.08,275863.85,20357.23,84328,63970.77,20357.23,6107.2,5089.33,1017.87
"Kickers Bar & Lounge, Inc.",140700641,Schiller Park,4,330727.09,304631.12,26095.97,84924,58828.03,26095.97,7828.83,6524.03,1304.8
KICKN 66 LIQUOR & MORE CORPORATION,150703011,Litchfield,5,358254.05,324244.86,34009.19,107970,73960.61,34009.39,10202.87,8502.39,1700.48
"Kidstone Group-Wabash, LLC",140701866,Jerome,5,444019.35,401188.28,42831.07,148351,105519.93,42831.07,12849.4,10707.83,2141.57
"KIEF'S REEF, INC.",130702687,McHenry County,5,348968.67,318027.43,30941.24,107038,76096.41,30941.59,9282.55,7735.46,1547.09
KIKU JAPANESE STEAK & SEAFOOD HOUSE LTD.,150701011,Springfield,4,6540.93,7020.01,-479.08,2501,2980.08,-479.08,-143.74,-119.78,-23.96
"KILCOYNE'S REDWOOD INN, INC.",130701646,Wheeling,1,120171.75,113407.72,6764.03,37423,30658.97,6764.03,2029.21,1691.01,338.2
"Kildare Enterprises, Inc.",120700258,Blue Island,5,253075.24,238153.47,14921.77,80696,65774.1,14921.9,4476.62,3730.52,746.1
Kilimanjaro Connection Corporation,120711063,Dolton,4,76211.22,68262.42,7948.8,26287,18335.4,7951.6,2385.51,1987.93,397.58
KILLOUGH LLC,160702650,St. Charles,4,101819.28,92834.69,8984.59,42466,33481.17,8984.83,2695.49,2246.24,449.25
Kim C. Frye,120707277,Marseilles,5,456796.18,431461.37,25334.81,129852,104517.01,25334.99,7600.53,6333.77,1266.76
Kimchee Three LLC,170700386,Galesburg,5,105720.12,93340.3,12379.82,30844,18464.18,12379.82,3714,3095.01,618.99
"Kindred Spirits 2014, LLC",140703756,Mattoon,5,108098.42,101717.26,6381.16,37551,31169.84,6381.16,1914.35,1595.29,319.06
"KINDRED SPIRITS DISTILLERY, INC.",160703588,North Utica,4,20868.63,17932.37,2936.26,7482,4545.74,2936.26,880.91,734.09,146.82
"KING OF CLUBS, INC.",120710428,Springfield,2,7593.24,7049.45,543.79,2420,1876.21,543.79,163.15,135.96,27.19
"King Pins Fulton, Inc",150704077,Whiteside County,5,183617.08,165588.53,18028.55,55413,37384.45,18028.55,5408.62,4507.18,901.44
"Kingston Lanes, LLC",130703956,Woodstock,5,382224.94,354200.36,28024.58,132779,104754.61,28024.39,8407.33,7006.11,1401.22
"Kintz Enterprises, Inc.",120703764,Kankakee,5,242443.44,221148.52,21294.92,100946,79651.02,21294.98,6388.55,5323.8,1064.75
Kishan Inc.,121006834,Marseilles,5,378464.55,348212.02,30252.53,114177,83924.62,30252.38,9075.85,7563.21,1512.64
"KJ'S SALOON, INC.",130706196,Hoffman Estates,5,675571.41,620209.29,55362.12,202393,147030.88,55362.12,16608.75,13840.63,2768.12
"KJB'S PINT HAUS, LLC",130701800,Jacksonville,2,2334.85,2099.18,235.67,818,582.33,235.67,70.69,58.91,11.78
"KJE5A, INC.",160702351,New Milford,5,235262.23,217478.54,17783.69,83725,65941.31,17783.69,5335.14,4445.95,889.19
KJM LLC,140701324,Port Byron,5,127852.98,117757.98,10095,36608,26512.96,10095.04,3028.56,2523.8,504.76
KK KRINA CORP.,160701078,Thornton,5,443103,414245.69,28857.31,136243,107385.69,28857.31,8657.23,7214.36,1442.87
KK's New Town Lounge Incorporated,120708217,Hometown,5,561364.24,517212.5,44151.74,177527,133375.05,44151.95,13245.66,11038.06,2207.6
KLA OF ILLINOIS INC.,160701630,Springfield,5,65348,60905.58,4442.42,26525,22082.56,4442.44,1332.83,1110.7,222.13
"Kladas, Inc.",120700649,Berwyn,5,272148.59,245832.87,26315.72,92563,66247.28,26315.72,7894.71,6578.93,1315.78
"Kleindl Henry, Inc.",120702987,Shannon,2,109170.52,101135.84,8034.68,37249,29214.32,8034.68,2410.43,2008.7,401.73
"Kline-Ambrose, Inc.",120703332,Brookfield,5,57938.99,53027.94,4911.05,15977,11065.88,4911.12,1473.36,1227.8,245.56
"Klusendorf's Sky Harbor, Inc.",130702848,West Peoria,3,36635.29,33112.8,3522.49,13581,10055.86,3525.14,1057.53,881.27,176.26
"KMK Ventures, Inc.",120700355,Elgin,5,363946.64,328033.43,35913.21,113465,77551.79,35913.21,10774,8978.34,1795.66
"Knapp Oil Co., Inc.",131003499,Nashville,5,600812.21,560449.62,40362.59,190413,150027.82,40385.18,12115.61,10096.35,2019.26
"Knapp Oil Co., Inc.",151001193,Pinckneyville,5,672267.17,622259.9,50007.27,200661,150647.54,50013.46,15004.11,12503.43,2500.68
"Knickerbocker & Son, Inc.",120707124,Washington,5,301923.61,272690.61,29233,93433,64200.16,29232.84,8769.94,7308.29,1461.65
"Knight's Action Park, Inc.",130705112,Springfield,4,81593.83,72016.67,9577.16,28660,19083.25,9576.75,2873.09,2394.25,478.84
"KNITE AL'S, LLC",120710903,Sullivan,5,235343.12,217736.78,17606.34,55227,37620.51,17606.49,5281.98,4401.65,880.33
"Knorr Enterprises, Inc.",120708317,Joliet,5,259967.73,242676,17291.73,93776,76484.15,17291.85,5187.59,4323,864.59
Knotty Pine Bar & Grill LLC,160703008,Assumption,4,118010.43,112049.02,5961.41,32820,26858.35,5961.65,1788.52,1490.44,298.08
Knotty Pine Inn Inc,120706993,Breese,2,35367.15,31137.73,4229.42,11350,7120.53,4229.47,1268.86,1057.38,211.48
"Knowlton & Drury, Inc.",120700261,DeKalb,5,310521.9,284041.48,26480.42,91970,65489.58,26480.42,7944.14,6620.12,1324.02
"knox investments, Inc.",130705060,Galesburg,3,85543.41,75645.23,9898.18,35774,25875.82,9898.18,2969.47,2474.56,494.91
"KNUCKLEHEAD'S TAVERN, INC.",130702153,Elburn,5,258252.09,236211.79,22040.3,86193,64152.7,22040.3,6612.15,5510.13,1102.02
"Knuckles Pizza, Inc.",150704115,Peoria County,4,122798.05,110661.79,12136.26,38598,26461.74,12136.26,3640.94,3034.12,606.82
KOBE HIBACHI STEAKHOUSE INC.,120712220,Bloomington,5,62470.89,55483.11,6987.78,23564,16576.2,6987.8,2096.35,1746.96,349.39
"Koch Street Bar and Grill, Inc.",120704752,Pekin,5,288501.68,261120.22,27381.46,89120,61738.54,27381.46,8214.46,6845.39,1369.07
KOELLNER ENTERPRISE LLC,150703949,Galesburg,5,767648.21,726380.08,41268.13,227404,186136.12,41267.88,12380.42,10317.02,2063.4
KOELLNER ENTERPRISE LLC,140701652,West Peoria,5,694978.76,645186.43,49792.33,203440,153647.67,49792.33,14937.69,12448.08,2489.61
KOELLNER ENTERPRISES 2 LLC,150702366,East Moline,5,653862.96,601269.9,52593.06,180611,128017.94,52593.06,15777.95,13148.29,2629.66
Koellner Enterprises 3 LLC,150704237,Milan,5,211095.6,194089.06,17006.54,60580,43573.51,17006.49,5102,4251.67,850.33
"KOIS' VILLAGE LIGHTS, INC. ",120704192,East Hazel Crest,5,645744.08,594875.02,50869.06,209241,158371.9,50869.1,15260.79,12717.33,2543.46
"Koke's Tavern, Inc.",120704005,Fairmont City,3,126446.07,119542.26,6903.81,33110,26206.19,6903.81,2071.15,1725.96,345.19
"Kopp's Korner, Inc.",120708462,Alton,3,76807.54,69875.38,6932.16,26566,19633.84,6932.16,2079.72,1733.1,346.62
"Kopp's Korner, Inc.",120708463,Granite City,4,159812.85,146546.56,13266.29,44071,30804.71,13266.29,3979.89,3316.57,663.32
Kores Fuels Inc.,121001389,Chenoa,5,462482.69,424766.19,37716.5,121869,84152.73,37716.27,11314.96,9429.14,1885.82
KORES GROUP INC.,121001385,Leroy,5,484740.9,445718.7,39022.2,130597,91574.8,39022.2,11706.73,9755.61,1951.12
"Korner Keg & Kitchen, Inc",130700462,East Brooklyn,5,105828.05,94440.86,11387.19,36880,25492.81,11387.19,3416.27,2846.9,569.37
"Korner Keg & Kitchen, Inc.",120700390,Braidwood,3,197849.52,180483.78,17365.74,64979,47613.26,17365.74,5209.8,4341.5,868.3
"Korner Keg & Kitchen, Inc.",120700498,Essex,4,140460.14,128226.08,12234.06,42925,30689.03,12235.97,3670.87,3059.06,611.81
"Korner Keg & Kitchen, Inc.",120700508,Will County,2,96010.45,88307.94,7702.51,29196,21493.49,7702.51,2310.75,1925.62,385.13
"Korner Tavern, Inc.",120705958,Ava,3,187416.43,174183.59,13232.84,46986,33753.16,13232.84,3969.87,3308.22,661.65
"Korner Tavern, Inc.",120704535,Campbell Hill,3,84330.84,76899.3,7431.54,19189,11757.46,7431.54,2229.46,1857.89,371.57
"Kottage Kafe, Inc.",130705891,South Jacksonville,4,42191.24,37187.72,5003.52,15313,10309.48,5003.52,1501.1,1250.92,250.18
"KRAPILS, THE GREAT STEAK, INC.",120711236,Worth,5,353375.26,328498.15,24877.11,113615,88737.84,24877.16,7463.24,6219.37,1243.87
"Krauss,Inc.",120706256,Oak Lawn,5,190154.86,181710.12,8444.74,54764,46319.06,8444.94,2533.56,2111.3,422.26
"Krazy Venture, LLC",150702168,Carbondale,4,211828.7,197681.08,14147.62,68948,54800.38,14147.62,4244.28,3536.9,707.38
"KRDS, INC. ",120705437,Fox Lake,5,19981.22,17797.65,2183.57,8119,5935.36,2183.64,655.12,545.94,109.18
"Kretz, Inc.",120708728,Hoyleton,5,299307.29,279768.37,19538.92,79065,59525.64,19539.36,5861.84,4884.87,976.97
"Kretz, Inc.",140702014,Nashville,5,164254.88,151780.08,12474.8,54136,41661.15,12474.85,3742.5,3118.75,623.75
"KRIMSON 4 GROUP, INC.",160704013,Olympia Fields,4,12615.88,12032.73,583.15,3779,3195.85,583.15,174.95,145.79,29.16
Kris's Depot Incorporated,130706293,Kenney,5,133160.59,125131.62,8028.97,33999,25969.86,8029.14,2408.83,2007.36,401.47
"Kristie's Rockton Inn, Inc.",150701929,Rockton,5,208060.57,187198.04,20862.53,81297,60434.47,20862.53,6258.82,5215.69,1043.13
"Kristof's Entertainment Center, Inc.",120711944,Round Lake Beach,5,610231.82,555782.02,54449.8,186178,131728,54450,16335.07,13612.56,2722.51
Kristy Corp,150700543,Hoffman Estates,5,453117.63,422733.92,30383.71,121182,90798.29,30383.71,9115.23,7596.03,1519.2
Kritters Inc.,120710384,Royalton,3,79021.19,71779.67,7241.52,20173,12931.63,7241.37,2172.47,1810.39,362.08
"KROSS-VINSON KROSS ENTERTAINMENT, L.L.C.",150702375,Cullom,5,164885.76,159381.26,5504.5,59437,53931.69,5505.31,1651.64,1376.37,275.27
"Krystal's, Inc.",160700522,Pekin,5,438966.19,411694.1,27272.09,133857,106584.91,27272.09,8181.6,6818,1363.6
"KSBA, Inc.",130701340,Clinton County,4,91511.3,84444.18,7067.12,31742,24674.8,7067.2,2120.15,1766.79,353.36
KSF Productions Inc.,160703511,Plano,4,12758.4,10580.82,2177.58,5265,3087.42,2177.58,653.31,544.43,108.88
"KTM OPERA HOUSE, INC.",140703232,Palmyra,3,75117.58,67444.49,7673.09,25275,17601.91,7673.09,2301.93,1918.28,383.65
"Kuhl Tyme Korner, Inc.",120702089,Jacksonville,5,340591.26,308441.67,32149.59,109568,77418.57,32149.43,9644.84,8037.37,1607.47
Kyle N. Wahl,130704617,Harrisburg,3,246154.81,227658.64,18496.17,51136,32639.83,18496.17,5548.85,4624.04,924.81
"L & D Enterprises, Inc.",130704515,Lake County,5,277471.67,248205.49,29266.18,89874,60607.82,29266.18,8779.92,7316.6,1463.32
"L & H TAVERN, INC.",120706966,Danville,5,403926.51,365605.09,38321.42,132465,94143.58,38321.42,11496.52,9580.44,1916.08
L & J Mattson Co.,130705769,Burbank,5,586338.23,548920.97,37417.26,205506,168088.64,37417.36,11225.25,9354.38,1870.87
L & O Inc.,120711584,Springfield,5,148697.48,135193.82,13503.66,41542,28038.34,13503.66,4051.18,3375.99,675.19
"L & S Ursa, Inc.",130704886,Ursa,3,31775.56,29320.57,2454.99,8339,5884.15,2454.85,736.5,613.75,122.75
L P K P Incorporated,120700573,Galena,5,410897.38,371626.23,39271.15,126488,87216.61,39271.39,11781.45,9817.88,1963.57
L. A. MANSON CORPORATION,160703156,St. Charles,5,73153.16,67255.47,5897.69,21684,15786.31,5897.69,1769.33,1474.44,294.89
"L. Fredericks, Inc.",150700091,Peotone,5,114312.87,108023.32,6289.55,37874,31584.45,6289.55,1886.9,1572.42,314.48
"L. Percy Tucker Post 6026, Veterans of Foreign Wars",120903709,El Paso,5,202797.47,180821.23,21976.24,66215,44238.69,21976.31,6593,5494.17,1098.83
"L.A.S. Group, Inc.",120700427,Elizabethtown,3,58604.13,55249.04,3355.09,16339,12983.91,3355.09,1006.53,838.77,167.76
"L.D. Massey, Inc.",130700452,East Peoria,4,462859.29,424150.59,38708.7,142304,103595.25,38708.75,11612.68,9677.23,1935.45
"La Bella Bistro, Inc.",120712422,Addison,5,590987.36,540022.26,50965.1,161630,110664.41,50965.59,15289.74,12741.45,2548.29
"La Canoa, LLC",140700030,Waukegan,5,155495.83,142581.23,12914.6,53837,40922.27,12914.73,3874.46,3228.72,645.74
"LA Connection, Inc.",120703648,Peoria,4,114670.25,105893.2,8777.05,40736,31958.95,8777.05,2633.13,2194.28,438.85
"LA FAMILIA COSTA, INC.",130703070,Byron,3,10655.78,9657,998.78,3917,2918.21,998.79,299.63,249.69,49.94
"LA FLAMA DE ORO ENTERPRISES, INC.",120706562,Aurora,5,344051.79,314960.85,29090.94,101243,72151.68,29091.32,8727.52,7272.93,1454.59
"La Guerita, Inc.",120704409,Hickory Hills,5,256584.08,234716.47,21867.61,90007,68139.44,21867.56,6560.25,5466.88,1093.37
"La Hacienda Restaurant, Inc.",130705090,McHenry,4,61198.97,54838.3,6360.67,20844,14483,6361,1908.33,1590.28,318.05
"La Luna Cafe, Inc.",120702033,St. Joseph,5,227596.45,204371.23,23225.22,70487,47262.24,23224.76,6967.49,5806.24,1161.25
"La Magdalena, Inc.",130704237,Addison,2,24059.44,21244.86,2814.58,7366,4551.42,2814.58,844.42,703.68,140.74
La Malinche Bar and Grill Inc.,150703546,Lake Zurich,4,71613.91,65530.4,6083.51,25041,18957.54,6083.46,1825.08,1520.9,304.18
"La Opera, Inc.",120709792,Waukegan,4,191254.35,173366.59,17887.76,66238,48350.24,17887.76,5366.35,4471.96,894.39
"LA PLACITA TAQUERIA #2, LLC",160703331,Marengo,4,59445.19,54335.45,5109.74,21844,16734.26,5109.74,1532.98,1277.48,255.5
Lacey's Place LLC,130704916,Champaign,5,696355.59,640060.58,56295.01,219232,162936.99,56295.01,16888.53,14073.78,2814.75
LACEY'S PLACE LLC,140703789,Champaign,5,516850.4,473386.48,43463.92,199806,156342.18,43463.82,13039.2,10866,2173.2
LACEY'S PLACE LLC,150701466,Champaign,5,648681.61,604317.92,44363.69,233027,188663.31,44363.69,13309.26,11091.05,2218.21
LACEY'S PLACE LLC,150702345,Decatur,5,537360.17,485524.08,51836.09,182097,130260.91,51836.09,15550.86,12959.05,2591.81
LACEY'S PLACE LLC,150703012,Urbana,5,785586.93,720560.53,65026.4,264064,199037.6,65026.4,19507.94,16256.62,3251.32
LACEY'S PLACE LLC,150702309,Champaign,5,450121.27,400667.32,49453.95,152446,102992.48,49453.52,14836.11,12363.43,2472.68
Lacey's Place LLC Series Addison,160700946,Addison,5,625641.7,566015.28,59626.42,206691,147064.58,59626.42,17888.02,14906.68,2981.34
Lacey's Place LLC Series Addison 2,160704096,Addison,5,25,36.8,-11.8,30,41.8,-11.8,-3.54,-2.95,-0.59
Lacey's Place LLC Series Beecher,160702877,Beecher,5,109855.51,103944.86,5910.65,33467,27556.35,5910.65,1773.23,1477.69,295.54
LACEY'S PLACE LLC SERIES BELVIDERE,160700828,Belvidere,5,372961.04,337951.04,35010,120000,84990,35010,10503.05,8752.54,1750.51
Lacey's Place LLC Series Berwyn,160702878,Berwyn,5,226694.29,203984.48,22709.81,76668,53958.19,22709.81,6813.03,5677.52,1135.51
Lacey's Place LLC Series Bradley,160702432,Bradley,5,316047.75,289361.53,26686.22,98561,71874.78,26686.22,8005.89,6671.57,1334.32
Lacey's Place LLC Series Centralia,160702337,Centralia,5,371677.38,339135.36,32542.02,103830,71288.03,32541.97,9762.54,8135.45,1627.09
Lacey's Place LLC Series Channahon,160701132,Channahon,5,116707.74,104568.75,12138.99,43405,31266.01,12138.99,3641.72,3034.77,606.95
LACEY'S PLACE LLC SERIES CRESTWOOD,160700437,Crestwood,5,467045.42,427174.18,39871.24,168021,128149.54,39871.46,11961.47,9967.9,1993.57
LACEY'S PLACE LLC SERIES CRETE,160700827,Crete,5,405219.06,367588.79,37630.27,127549,89918.73,37630.27,11289.18,9407.65,1881.53
